Nearest Neighbors,Neural Network,Pairwise Accuracy Differences
87,84,3
84,85,-1
90,87,3
78,81,-3
86,84,2
78,82,-4
80,79,1
90,86,4
82,82,0
82,84,-2
83,83,0
83,85,-2
77,84,-7
87,91,-4
82,90,-8
80,80,0
88,89,-1
86,86,0
90,82,8
78,84,-6
84,87,-3
76,80,-4
83,83,0
87,81,6
88,89,-1
77,82,-5
86,82,4
86,86,0
86,83,3
87,87,0
73,82,-9
87,82,5
84,91,-7
83,83,0
87,84,3
86,88,-2
85,84,1
86,84,2
78,82,-4
88,86,2
81,85,-4
84,85,-1
87,90,-3
88,86,2
80,83,-3
86,87,-1
85,87,-2
77,82,-5
89,77,12
84,86,-2
81,84,-3
90,82,8
79,82,-3
83,82,1
81,86,-5
86,90,-4
88,85,3
87,79,8
83,84,-1
84,88,-4
81,82,-1
86,90,-4
86,86,0
89,85,4
90,90,0
88,85,3
84,84,0
81,83,-2
82,76,6
83,81,2
90,87,3
82,88,-6
85,82,3
82,82,0
79,79,0
84,85,-1
79,85,-6
85,89,-4
86,89,-3
82,89,-7
85,87,-2
81,85,-4
85,83,2
83,85,-2
86,84,2
85,88,-3
85,85,0
80,81,-1
78,81,-3
82,86,-4
86,79,7
88,82,6
86,80,6
83,88,-5
82,81,1
87,84,3
85,85,0
87,81,6
83,76,7
83,81,2
