Gender,Class,Hours,Work,Loans,CC Debt
Female,2,14,0,0,2377
Female,4,16,0,0,7040
Female,2,9,28.5,7982,2481
Female,2,16,0,0,0
Female,3,8,33,13051,6146
Male,2,12,22.5,7087,3808
Male,2,8,37,6627,3433
Female,1,14,19,3815,1294
Female,3,11,18.5,14885,2292
Female,3,17,14,11766,3636
Male,4,15,0,0,2435
Female,1,18,0,4543,0
Female,3,12,0,12066,4733
Male,1,15,0,3879,1432
Male,1,15,0,0,1377
Female,2,14,15.5,9118,2490
Female,1,14,10.5,3927,1272
Female,1,9,25.5,0,1304
Male,1,16,0,0,1669
Female,3,19,0,0,2326
Male,2,18,0,6823,3022
Female,3,6,34.5,11623,3484
Female,1,16,0,0,1209
Female,3,12,0,0,0
Male,2,12,0,0,2617
Male,1,15,0,5687,1602
Female,3,15,19,0,2291
Male,1,17,11.5,0,1329
Female,1,15,0,4515,1120
Female,4,3,35.5,0,7893
Female,1,15,0,0,1355
Female,1,15,0,0,1071
Male,2,15,14.5,7495,2015
Male,1,16,0,0,1288
Female,4,10,26.5,0,2377
Female,4,3,0,0,6560
Female,4,12,0,0,6204
Female,2,11,22.5,8131,1896
Female,2,14,21,0,2952
Female,1,16,0,0,0
Male,3,14,0,0,10266
Female,2,15,16,8292,2514
Female,4,3,33,14360,6756
Male,3,16,0,0,11494
Male,4,12,0,0,9024
Female,4,3,44.5,14167,6549
Male,2,15,0,7085,3977
Female,1,16,0,4527,1215
Male,2,16,0,0,2775
Female,1,19,0,0,926
Male,3,17,0,11506,3259
Female,2,15,14,10433,2859
Female,1,17,0,0,1161
Female,3,15,0,0,2549
Female,3,15,20,11273,3921
Female,3,7,30.5,12309,3666
Female,2,12,0,8820,2585
Male,3,6,32,11696,8405
Male,2,8,38.5,0,3502
Female,2,15,0,0,2582
Male,1,14,0,0,1392
Male,4,21,12.5,16036,12223
Female,4,15,0,19089,5410
Female,3,20,0,0,4676
Male,2,12,0,0,0
